Song,Genre,Cluster,Distance,PCA1,PCA2
blues.00000,blues,2,1.767127439713049,-1.0553769904305803,-0.7053186599808953
blues.00001,blues,4,1.6677461972319472,-1.162630727082271,0.9465927838401459
blues.00002,blues,2,1.8298426407152395,-1.1055318607031897,-0.5859855400381145
blues.00003,blues,4,1.593340203856478,-2.0581873654673775,0.4447510796882555
blues.00004,blues,4,1.8406509821984023,-0.5741361658105372,0.2487296697212663
blues.00005,blues,4,2.997686334514051,0.1991587159554211,1.8758732425857247
blues.00006,blues,4,2.48777656552641,-1.1267032289021686,1.716258566821298
blues.00007,blues,4,2.0124920440410783,-1.1044546034945164,1.2395874081238216
blues.00008,blues,2,1.8933807040153268,-1.127126569295931,-0.7383017524434399
blues.00009,blues,4,1.6706767767152093,-0.9985185430699178,0.7461275430279554
blues.00010,blues,4,1.649268671985987,-1.694092674771377,0.770829398664793
blues.00011,blues,4,1.9772340853409958,-1.2730886722455967,1.4279555552474206
blues.00012,blues,4,1.5627888383801425,-1.2035314550451337,0.7556200691046492
blues.00013,blues,4,1.561480640083454,-1.6369316377363434,0.23421142462523553
blues.00014,blues,4,2.2091131021503663,-1.9639248938520728,1.4689330333353618
blues.00015,blues,4,1.6264377681084794,-1.411065447251322,0.8987117052530093
blues.00016,blues,4,1.5719151324519127,-1.5070756401173013,0.6708298249040185
blues.00017,blues,4,1.6485234274679068,-1.8873826745397262,0.9490772233396632
blues.00018,blues,4,1.712669627804786,-1.4492971209158718,0.6038137473059673
blues.00019,blues,4,1.6680024978395291,-1.5382448996012716,1.0129121503153442
blues.00020,blues,4,1.434424603117075,-1.8085364302461933,-0.07537088973728419
blues.00021,blues,4,1.8580516951835706,-1.6064671405510254,1.3089756523195237
blues.00022,blues,4,1.9337932442098096,-1.3667653731428253,1.4297051686688576
blues.00023,blues,4,1.5646615009696545,-1.856138666970634,0.5286861982488423
blues.00024,blues,4,1.873076211567304,-1.9542637535406409,1.0726939871360943
blues.00025,blues,4,1.8983932462807713,-1.9247349724903098,0.8904774483552431
blues.00026,blues,4,2.20179715440101,-1.9273498328524565,1.4645077992400952
blues.00027,blues,4,1.6462265062793298,-1.236013578237018,0.6356781635919045
blues.00028,blues,4,1.6746473892693896,-2.080166210582,0.6689565854142481
blues.00029,blues,4,2.2841694599831395,-0.7277088299841207,1.3890253078835597
blues.00030,blues,4,2.045754610618468,-1.4008359638319698,0.8416614728308743
blues.00031,blues,4,2.0153014572850543,-1.566270793916486,0.7878894624643613
blues.00032,blues,4,2.4301316953821144,-1.0684485920295652,1.8810377025481917
blues.00033,blues,4,2.3482048719004154,-1.2023838683160706,1.2523857593290328
blues.00034,blues,4,1.852653050443388,-1.5044102019530796,0.6915956723259953
blues.00035,blues,4,1.82372300832367,-1.419046442543461,0.3222658187088172
blues.00036,blues,4,2.0124335416167516,-1.9338634638745622,0.5471193264993829
blues.00037,blues,4,2.1721986220653613,-1.7358373794898394,1.689987279835278
blues.00038,blues,4,2.0332797514374286,-1.0460564475630685,0.8745839227094253
