Song,Genre,Cluster,Distance,PCA1,PCA2
blues.00000,blues,6,0.9789270828606513,3.100405797688637,-0.2356420655894623
blues.00001,blues,6,1.2151846835097448,3.0910290025183285,-0.5831496904437672
blues.00002,blues,6,1.0420233103650074,3.10732616801963,-0.2575792219014404
blues.00003,blues,6,1.543515161490435,3.358306854042679,-0.4999479484179983
blues.00004,blues,6,1.2932060941351626,2.9598131180294147,-0.4264969950899618
blues.00005,blues,6,2.571661914695683,2.6960850635147096,-0.7504979788929549
blues.00006,blues,6,2.3371720929996176,3.088029573595239,-0.7444209153634698
blues.00007,blues,6,1.6789124853904465,3.0791191501498556,-0.6437675359915247
blues.00008,blues,6,1.1585495617928172,3.105271837526303,-0.22401657260891514
blues.00009,blues,6,1.286968144233475,3.0687880732028807,-0.5416739725427798
blues.00010,blues,6,1.6486194886273215,3.2696878305819523,-0.5608762734391626
blues.00011,blues,6,1.7309744698740253,3.11412100595531,-0.692885326561664
blues.00012,blues,6,1.2446095403206767,3.128389183064442,-0.5478794801500556
blues.00013,blues,6,1.3662516893431935,3.2581962061895227,-0.44906856388022204
blues.00014,blues,6,2.343256892641177,3.3444261364894645,-0.720206623565951
blues.00015,blues,6,1.489594125806208,3.1878043471320545,-0.586534367582688
blues.00016,blues,6,1.3936284614633025,3.215695236363448,-0.5383635277934634
blues.00017,blues,6,1.6625774194952325,3.3166956437791346,-0.601956527539352
blues.00018,blues,6,1.5621341037901244,3.205536054015423,-0.5260728069198581
blues.00019,blues,6,1.5546618442036573,3.218510736064965,-0.6102768731016722
blues.00020,blues,6,1.282414468893598,3.3132734036571683,-0.3858650492823862
blues.00021,blues,6,1.7913619060345738,3.2289301633288305,-0.6720965201196072
blues.00022,blues,6,1.8314535488190824,3.1616935732320663,-0.6952277823312331
blues.00023,blues,6,1.5722265521478032,3.3279486819717525,-0.5149410215920092
blues.00024,blues,6,1.9693842192145568,3.343528787548099,-0.6340674240725321
blues.00025,blues,6,1.9757266628196992,3.3392169047300624,-0.5972121714251982
blues.00026,blues,6,2.3655870340319107,3.340795799688455,-0.7213375544031185
blues.00027,blues,6,1.46410160737139,3.1491488794792444,-0.5290554218874219
blues.00028,blues,6,1.7900125082774718,3.387441772980743,-0.5508497069583683
blues.00029,blues,6,1.845016124957373,2.96458386197871,-0.6703542192859725
blues.00030,blues,6,1.6493581096908847,3.1567301473095637,-0.5599588462757769
blues.00031,blues,6,1.7329248599190763,3.2229592195185983,-0.5554840501044399
blues.00032,blues,6,2.1522564463183405,3.05089192138079,-0.779279795316258
blues.00033,blues,6,1.958958633251029,3.0944361116241077,-0.6429617543941841
blues.00034,blues,6,1.4974072470674689,3.202689793482324,-0.5334110629007071
blues.00035,blues,6,1.364286299545923,3.175032426693533,-0.45226433764610663
blues.00036,blues,6,1.815968307349622,3.3298182277457102,-0.509944179041061
blues.00037,blues,6,2.1639336450162103,3.2682756275658504,-0.75155574024047
blues.00038,blues,6,1.5183030836736127,3.055419660071981,-0.5611701604167191
blues.00039,blues,6,2.213942252722034,3.2755897801898235,-0.7229306512902608
blues.00040,blues,6,1.5697403592201447,2.8853335529812165,-0.12185617591504895
blues.00041,blues,6,1.491339605340072,2.805902387066845,-0.18491546507255568
blues.00042,blues,6,1.4413233196890556,2.9026321027468933,-0.24819397880532246
blues.00043,blues,6,1.4255840614074082,2.9390519091769467,-0.15837291194207717
blues.00044,blues,6,1.644341565289284,2.9456236994218337,-0.12482795067197866
blues.00045,blues,6,1.9806746338682604,3.2071195171518445,-0.15367301365435998
blues.00046,blues,6,1.1235651734688472,3.028437399074893,-0.31325504427068024
blues.00047,blues,6,1.5223475722136988,3.0540327830907112,-0.16287403914634105
blues.00048,blues,6,1.347945994996505,2.9217838330823644,-0.14587799454906805
blues.00049,blues,6,1.3733544227094263,3.187691929661433,-0.4668588102152245
blues.00050,blues,6,1.142601450099784,2.990924287158277,-0.1839580248477746
blues.00051,blues,6,1.7397789732770585,2.9462049070517327,-0.07886953721127035
blues.00052,blues,6,1.575025774296199,3.00660147189265,-0.6338962454987296
blues.00053,blues,6,1.5674442160057447,2.786778932596985,-0.20576720568650433
blues.00054,blues,6,1.4041132118535822,2.8580055448690898,-0.16432855647057007
blues.00055,blues,6,1.183960093565051,2.853505005450157,-0.24967524324147827
blues.00056,blues,6,0.7812362669861485,2.9734153712504647,-0.441578429638377
blues.00057,blues,6,0.9000068986882064,2.9305283326867264,-0.30596017452261476
blues.00058,blues,6,1.0012252525877785,2.86856164153648,-0.288457393653558
blues.00059,blues,6,1.7073576483827446,2.6971899769207455,-0.2268923380942593
blues.00060,blues,6,1.4368215388319803,2.9418127023278138,-0.12940333052370312
blues.00061,blues,6,2.4586949652898267,2.6875729269375213,0.005535648750362844
blues.00062,blues,6,1.5975354880825465,2.7032302430595023,-0.32912837187836574
blues.00063,blues,6,2.151277599944325,2.612074351496508,-0.17743370614952528
blues.00064,blues,6,2.438135710001842,2.798270296625627,0.05475396166289851
blues.00065,blues,6,2.19768739685436,2.6053944326784726,-0.12303677213288222
blues.00066,blues,6,1.6531235819693386,2.688882396660861,-0.23183952115835516
blues.00067,blues,6,1.5903475490458685,2.8313248920719865,-0.15339830742158625
blues.00068,blues,6,1.9149470263744597,2.7938608018329427,-0.08138168976388477
blues.00069,blues,6,1.7461409836520443,2.7824503227681396,-0.16791065783223919
blues.00070,blues,6,1.1778312472877885,2.866235667129397,-0.28104845661851263
blues.00071,blues,6,2.288311070947334,2.8270966270994435,0.03258687799588052
blues.00072,blues,6,2.3176610353898903,2.6786468013472233,-0.06177898246379823
blues.00073,blues,6,1.4762176522588504,2.975552920664766,-0.11019324657112245
blues.00074,blues,6,1.3536927843613002,2.7953394797937325,-0.2376642948532981
blues.00075,blues,6,1.4300015284072638,2.739700275192057,-0.38822127624934444
blues.00076,blues,6,1.9327655995650173,2.688828134667755,-0.131735389538539
blues.00077,blues,6,1.5838018572855896,2.870707836547968,-0.10876460637011609
blues.00078,blues,6,2.261388535426943,2.909544482617858,0.05789567555160924
blues.00079,blues,6,2.1822873632165782,2.819893509235583,0.019777570775120965
