filename,integrated_lufs,true_peak_dbfs,duration_seconds,sample_rate,error
(hed) Planet Earth - A Soldiers Intro.mp3,-23.4490477807306,-4.471963346004486,11.990204081632653,22050,
2 Minutos - 1987.mp3,-14.29622303347481,-0.07822863757610321,29.986303854875285,22050,
13th Ward Social Club - Melody Nelson (Instrumental).mp3,-14.97832279854762,-0.5314868316054344,29.98625850340136,22050,
-M- - Close to Me.mp3,-13.68617971571249,0.9405909478664398,29.98625850340136,22050,
-M- - Le Bug (Live 2005).mp3,-13.236206240802913,0.19590523093938828,29.98625850340136,22050,
-M- - Je suis une cigarette.mp3,-19.603682809496757,-3.1938812136650085,29.98625850340136,22050,
!!! - Myth Takes.mp3,-12.730568075182271,0.44075217097997665,29.98625850340136,22050,
2 Minutos - 14 Botellas.mp3,-20.451963563266617,-2.750050723552704,29.98625850340136,22050,
2 Minutos - 2 Minutos.mp3,-7.865711704175283,1.1670789122581482,29.98625850340136,22050,
2 Minutos - Como Caramelo De Limón.mp3,-17.56806196202049,-1.4404591917991638,29.98625850340136,22050,
2 Minutos - Rompan Todo.mp3,-9.955247194467683,0.7214764505624771,29.98625850340136,22050,
2 Minutos - Tema De Adrian.mp3,-18.16689838623885,-1.0937730222940445,29.98625850340136,22050,
2 Minutos - Valentin Alsina.mp3,-18.427647350896674,-2.5865086913108826,29.98625850340136,22050,
2 Minutos - Canción de Amor.mp3,-20.726481086430102,-2.3749934136867523,29.98625850340136,22050,
2 Minutos - Vos No Confiaste.mp3,-18.061991095881723,-1.4784447848796844,29.98625850340136,22050,
20_20 - I Never Did No Hitler.mp3,-15.429467003290666,-0.3270361199975014,29.98625850340136,22050,
20_20 - So Many Reasons.mp3,-16.88362692781679,0.007698180852457881,29.98625850340136,22050,
22-20s - Hold On.mp3,-13.244795847142298,-0.33238939940929413,29.98625850340136,22050,
2bona - Trampolina.mp3,-10.30719606937243,0.948808342218399,29.98625850340136,22050,
2raumwohnung - Ja (Hanno's Poppersmonstermix).mp3,-15.852280455609764,-0.3680558502674103,29.98625850340136,22050,
2raumwohnung - Mädchen mit Plan.mp3,-13.223552491089105,0.305870845913887,29.98625850340136,22050,
2XL - Kissing Game.mp3,-13.240514356001906,1.6254286468029022,29.98625850340136,22050,
2Fresh - Get It Started.mp3,-13.654792098647027,2.4308177828788757,29.98625850340136,22050,
2raumwohnung - Lachen und weinen.mp3,-13.160408223749782,-0.09663254022598267,29.98625850340136,22050,
3 Doors Down - Be Like That.mp3,-11.757267660617961,0.3089171089231968,29.98625850340136,22050,
3 Doors Down - Better Life.mp3,-11.822739679256632,-0.3928864747285843,29.98625850340136,22050,
3 Doors Down - Duck And Run.mp3,-12.575966915334602,-0.4181446135044098,29.98625850340136,22050,
3 Doors Down - Here Without You (Acoustic Version).mp3,-13.663789936369456,-0.4306897521018982,29.98625850340136,22050,
3 Doors Down - Sarah Yellin'.mp3,-11.67256938582549,0.6067014113068581,29.98625850340136,22050,
3 Doors Down - Who Are You (Album Version).mp3,-11.747186175191123,0.38344208151102066,29.98625850340136,22050,
3 Of Hearts - Is It Love.mp3,-13.877917758691481,-0.4610849544405937,29.98625850340136,22050,
3 Doors Down - It's Not Me.mp3,-12.665469434712808,0.9181588143110275,29.98625850340136,22050,
3 Steps Ahead - My Mind Is Gone (Interlude).mp3,-23.3010358534163,-3.474738299846649,29.5421768707483,22050,
3 Way Funk - Real Playaz.mp3,-12.144738899116977,0.14383227564394474,29.98625850340136,22050,
32 Leaves - Way Beyond.mp3,-12.972917227128333,-0.45969944447278976,29.98625850340136,22050,
4Him - A Strange Way To Save The World.mp3,-23.232030798669932,-4.741042256355286,29.98625850340136,22050,
40 Grit - A Part Of Me.mp3,-12.51830781790773,-0.40981296449899673,29.98625850340136,22050,
4Him - He Never Changes.mp3,-18.840615461726532,-1.9354158639907837,29.98625850340136,22050,
45 Grave - Party Time.mp3,-12.3964889300524,-0.7084531337022781,29.98625850340136,22050,
40 Grit - Intro.mp3,-22.079613072109947,-4.872792661190033,30.01238095238095,22050,
4Him - Wings.mp3,-14.894926283861995,0.414147712290287,29.98625850340136,22050,
5th Ward Boyz - Studio Gangster.mp3,-12.495819314908504,0.16210615634918213,29.98625850340136,22050,
50 Cent - Outta Control (Remix).mp3,-15.603513178718876,-0.686226412653923,29.98625850340136,22050,
4Him - You Are Holy.mp3,-17.337382503009437,-0.8243472129106522,29.98625850340136,22050,
6CycleMind - Talkin' Bout A Revolution.mp3,-14.707966072515726,-0.1662846840918064,29.98625850340136,22050,
5th Ward Boyz - Undercover Gangstas (Screwed).mp3,-13.255037350658373,0.2539491280913353,29.98625850340136,22050,
50 Cent - U Not Like Me.mp3,-10.989172383434118,1.2562605738639832,29.98625850340136,22050,
6CycleMind - Across the Universe.mp3,-17.769297039426316,0.4207073152065277,29.98625850340136,22050,
8Ball - I Don't Give A F___.mp3,-13.474251632981085,1.8079301714897156,29.98625850340136,22050,
A Boogie wit da Hoodie - Timeless (feat. DJ SPINKING) (Sped Up Version).mp3,-10.890516448165618,0.7919791340827942,29.98625850340136,22050,
99 Posse - Rafaniello (Versione Strumentale).mp3,-17.61506210673789,0.08317796513438225,29.98625850340136,22050,
A Different Breed of Killer - The Cleansing Apparatus.mp3,-11.816469147803415,0.30019618570804596,29.98625850340136,22050,
A Skylit Drive - Ability To Create A War.mp3,-13.124479469785854,0.37967056035995483,29.98625850340136,22050,
9th Wonder - Saved.mp3,-12.578976180173186,0.9682120382785797,29.98625850340136,22050,
99 Posse - Rafaniello.mp3,-16.822011313698734,0.0075461051892489195,29.98625850340136,22050,
A Challenge Of Honour - Heiliges Feuer.mp3,-14.937696205156474,-0.723305270075798,29.98625850340136,22050,
A Tribe Called Quest - Like It Like That.mp3,-15.106294613107515,0.4506820812821388,29.98625850340136,22050,
A Tribe Called Quest - Get A Hold.mp3,-14.332295562525443,-0.017979315016418695,29.98625850340136,22050,
A Tundra - The Doug McComb Over.mp3,-18.43819192976657,-2.161695212125778,29.98857142857143,22050,
"A Tribe Called Quest - Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) (LP Mix).mp3",-18.70254863180278,-3.2388201355934143,29.98625850340136,22050,
A Static Lullaby - Toxic.mp3,-13.88246965633098,0.712403878569603,29.98625850340136,22050,
A Static Lullaby - God Bless You (Goddamn it) (Album Version).mp3,-10.63924542099593,0.37188056856393814,29.98625850340136,22050,
Aaron Neville - For The Good Times.mp3,-20.45962055354282,-0.1387367770075798,29.98625850340136,22050,
A.R. Rahman - Rang De Basanti.mp3,-14.37627142025606,0.0723832892253995,29.98625850340136,22050,
Aaron Watson - That's What I Like About A Country Song (That's What I Like About A Country Song).mp3,-15.870829138812418,-0.08352533914148808,29.98625850340136,22050,
Aaron Watson - Sweet Contradiction.mp3,-15.664050810183012,-0.1342675182968378,29.98625850340136,22050,
Aaron Watson - Whiskey On The Fire.mp3,-14.107915191820956,-0.09089884348213673,29.98625850340136,22050,
Abbott & Chambers - Never After.mp3,-15.999006893030131,-0.7999175786972046,29.98625850340136,22050,
Aaron Watson - Rollercoaster Ride (Live).mp3,-16.859355233586857,-0.3381583094596863,29.98625850340136,22050,
Aberdeen - Beyond the Light.mp3,-19.974351611366586,-2.699686586856842,29.98625850340136,22050,
Abijah - The Rock.mp3,-15.658470784917723,-0.42890824377536774,29.98625850340136,22050,
Abijah - Children Of Love.mp3,-19.076692270567808,-0.8664532005786896,29.98625850340136,22050,
Abominable Iron Sloth - Sailing To The Edge Of The Earth.mp3,-15.317922448953178,-3.5062482953071594,29.98625850340136,22050,
Abracadabra - Bésame otra vez.mp3,-16.07325640734801,-0.9582938998937607,29.98625850340136,22050,
Abraham Laboriel - Wassup.mp3,-16.561879289353218,-0.6573326885700226,30.01238095238095,22050,
Abreu - Shame.mp3,-14.019484017236218,-0.25303345173597336,29.98625850340136,22050,
Abrar Ul Haq - Hello Hello.mp3,-22.414058093510274,-3.575597405433655,29.98857142857143,22050,
Abracadabra - Te estoy saboreando.mp3,-16.947677912849525,-0.39504583925008774,29.98625850340136,22050,
