msd_track_id,msd_artist,msd_title,deezer_artist,deezer_title,filename,audio_basename,audio_extension,has_audio,genre,primary_genre,genre_count,key,mode,loudness,tempo,key_confidence,mode_confidence,metadata_origin,genre_source,audio_match_source,source_row_number,original_genre,original_primary_genre,original_genre_count,mapped_primary_genres,mapped_secondary_tags,mapped_all_tags,mapped_primary_genre_count,mapped_secondary_tag_count,include_in_mrs,mrs_exclusion_reason,unmapped_source_genres,merged_genre_map_file
TRAAMKP12903CC74F4,2-4 Grooves feat. Reki D.,Relax,2-4 Grooves,Relax (Neitan Radio Mix),2-4 Grooves - Relax (Neitan Radio Mix).wav,2-4 Grooves - Relax (Neitan Radio Mix),.wav,True,"vocal_house, disco_house, electronic_dance, eurodance_freestyle, electro",vocal_house,5,4,0,-7.661,126.941,0.648,0.629,msd_catalog+legacy_download,msd_catalog,legacy_download,169,"vocal house, disco house, club, eurodance, electro",vocal house,5,"vocal_house, disco_house, electronic_dance, eurodance_freestyle, electro",,"vocal_house, disco_house, electronic_dance, eurodance_freestyle, electro",5,0,True,,,acoustically_coherent_merged_genres_corrected.csv
TRAASDM12903CD474E,20/20,It Goes On,20/20,It Goes On,20_20 - It Goes On.wav,20_20 - It Goes On,.wav,True,"indie_guitar_pop, pop_rock, new_wave_synth, rock, hip_hop_rap",indie_guitar_pop,5,6,1,-12.99,101.229,1.0,0.947,msd_catalog+legacy_download,msd_catalog,legacy_download,229,"power pop, pop rock, new wave, rock, hip hop",power pop,5,"indie_guitar_pop, pop_rock, new_wave_synth, rock, hip_hop_rap",,"indie_guitar_pop, pop_rock, new_wave_synth, rock, hip_hop_rap",5,0,True,,,acoustically_coherent_merged_genres_corrected.csv
TRABCTK128F934B224,40 Grit,Intro,40 Grit,Intro,40 Grit - Intro.wav,40 Grit - Intro,.wav,True,"nu_metal, alternative_metal, heavy_metal, progressive_house, deep_house",nu_metal,5,11,1,-22.752,186.882,0.154,0.301,msd_catalog+legacy_download,msd_catalog,legacy_download,350,"nu metal, alternative metal, heavy metal, progressive house, deep house",nu metal,5,"nu_metal, alternative_metal, heavy_metal, progressive_house, deep_house",,"nu_metal, alternative_metal, heavy_metal, progressive_house, deep_house",5,0,True,,,acoustically_coherent_merged_genres_corrected.csv
TRABKBS128F42823EC,A Static Lullaby,God Bless You (Goddamn it),A Static Lullaby,God Bless You (Goddamn it) (Album Version),A Static Lullaby - God Bless You (Goddamn it) (Album Version).wav,A Static Lullaby - God Bless You (Goddamn it) (Album Version),.wav,True,"post_hardcore_melodic_hardcore, emo_screamo, alternative_metal",post_hardcore_melodic_hardcore,3,7,1,-4.621,80.41,0.145,0.329,msd_catalog+legacy_download,msd_catalog,legacy_download,431,"post-hardcore, screamo, emo, alternative metal, melodic hardcore",post-hardcore,5,"post_hardcore_melodic_hardcore, emo_screamo, alternative_metal",,"post_hardcore_melodic_hardcore, emo_screamo, alternative_metal",3,0,True,,,acoustically_coherent_merged_genres_corrected.csv
TRABEBP12903C9BA03,A Static Lullaby,Rattlesnake!,A Static Lullaby,Rattlesnake!,A Static Lullaby - Rattlesnake!.wav,A Static Lullaby - Rattlesnake!,.wav,True,"post_hardcore_melodic_hardcore, emo_screamo, alternative_metal",post_hardcore_melodic_hardcore,3,2,1,-5.537,202.233,0.819,0.645,msd_catalog+legacy_download,msd_catalog,legacy_download,361,"post-hardcore, screamo, emo, alternative metal, melodic hardcore",post-hardcore,5,"post_hardcore_melodic_hardcore, emo_screamo, alternative_metal",,"post_hardcore_melodic_hardcore, emo_screamo, alternative_metal",3,0,True,,,acoustically_coherent_merged_genres_corrected.csv
TRABONH128F92D58DA,Aaron Watson,Rollercoaster Ride,Aaron Watson,Rollercoaster Ride,Aaron Watson - Rollercoaster Ride.wav,Aaron Watson - Rollercoaster Ride,.wav,True,"country_americana, country_rock, roots_classic_rock, folk_singer_songwriter",country_americana,4,4,1,-8.942,155.896,0.563,0.532,msd_catalog+legacy_download,msd_catalog,legacy_download,476,"honky tonk, classic country, country rock, southern rock, singer-songwriter",honky tonk,5,"country_americana, country_rock, roots_classic_rock, folk_singer_songwriter",,"country_americana, country_rock, roots_classic_rock, folk_singer_songwriter",4,0,True,,,acoustically_coherent_merged_genres_corrected.csv
TRAAQZQ128EF35C51A,Aberdeen,Beyond the Light,Aberdeen,Beyond the Light,Aberdeen - Beyond the Light.wav,Aberdeen - Beyond the Light,.wav,True,"indie_guitar_pop, pop_rock, alternative_indie_rock, rock, pop",indie_guitar_pop,5,9,1,-12.658,90.908,0.731,0.577,msd_catalog+legacy_download,msd_catalog,legacy_download,224,"twee pop, pop rock, indie rock, rock, indie pop",twee pop,5,"indie_guitar_pop, pop_rock, alternative_indie_rock, rock, pop",,"indie_guitar_pop, pop_rock, alternative_indie_rock, rock, pop",5,0,True,,,acoustically_coherent_merged_genres_corrected.csv
TRAAYTI128F933663B,Abraham Laboriel,Exchange,Abraham Laboriel,Exchange,Abraham Laboriel - Exchange.wav,Abraham Laboriel - Exchange,.wav,True,"jazz, misc_world_fusion, blues, funk, jazz_fusion",jazz,5,11,0,-8.489,93.106,0.252,0.393,msd_catalog+legacy_download,msd_catalog,legacy_download,304,"jazz, fusion, blues, funk, jazz rock",jazz,5,"jazz, misc_world_fusion, blues, funk, jazz_fusion",,"jazz, misc_world_fusion, blues, funk, jazz_fusion",5,0,True,,,acoustically_coherent_merged_genres_corrected.csv
TRAAAEF128F4273421,Adam Ant,Something Girls,Adam Ant,Something Girls (Album Version),Adam Ant - Something Girls (Album Version).wav,Adam Ant - Something Girls (Album Version),.wav,True,"pop_rock, new_wave_synth, rock",pop_rock,3,0,1,-9.013,119.293,0.751,0.749,msd_catalog+legacy_download,msd_catalog,legacy_download,3,"pop rock, new wave, dance rock, rock, new romantic",pop rock,5,"pop_rock, new_wave_synth, rock",,"pop_rock, new_wave_synth, rock",3,0,True,,,acoustically_coherent_merged_genres_corrected.csv
TRABQFJ12903CB6C29,Adr Lavey,In The Name of the Father,Adr Lavey,In The Name of the Father,Adr Lavey - In The Name of the Father.wav,Adr Lavey - In The Name of the Father,.wav,True,"gangsta_rap, trip_hop_illbient, hip_hop_rap, hardcore_punk, novelty_horror_rap",gangsta_rap,5,6,1,-6.181,96.007,0.512,0.548,msd_catalog+legacy_download,msd_catalog,legacy_download,497,"gangster rap, trip hop, rap, hardcore, horrorcore",gangster rap,5,"gangsta_rap, trip_hop_illbient, hip_hop_rap, hardcore_punk, novelty_horror_rap",,"gangsta_rap, trip_hop_illbient, hip_hop_rap, hardcore_punk, novelty_horror_rap",5,0,True,,,acoustically_coherent_merged_genres_corrected.csv
